"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 431.540016500002
"3" 0 0 442.59501725
"4" 0 0 253.325634249998
"5" 0 0 424.262936499999
"6" 0 0 536.606658250001
"7" 0 0 285.074625999999
"8" 0 0 236.46777125
"9" 0 0 370.824085000003
"10" 0 0 400.801808500001
"11" 0 0 356.058889250003
"12" 0 0 320.543838499999
"13" 0 0 465.743020249998
"14" 0 0 288.875996499999
"15" 0 0 394.29957725
"16" 0 0 345.937598500002
"17" 0 0 246.862545249999
"18" 0 0 292.608881
"19" 0 0 259.258398250002
"20" 0 0 341.87124425
"21" 0 0 250.096680500002
"22" 0 0 321.247146250001
"23" 0 0 216.51081425
"24" 0 0 249.003202
"25" 0 0 446.808387999999
"26" 0 0 153.7391825
"27" 0 0 365.274706249999
"28" 0 0 311.483431249999
"29" 0 0 249.302092499999
"30" 0 0 338.539837250003
"31" 0 0 510.624962500001
"32" 0 0 168.64711025
"33" 0 0 148.64091125
"34" 0 0 464.4393625
"35" 0 0 233.189506
"36" 1 331.0675965 370.216673081624
"37" 1 412.803365000002 658.247857432405
"38" 1 420.953242500003 575.568130155642
"39" 1 424.84844525 651.920559408331
"40" 1 426.208292500001 459.173909402457
"41" 1 426.780512500001 487.639671058729
"42" 1 451.004565250002 568.066928491095
"43" 1 470.642872250001 1027.38825005342
"44" 1 478.174476249999 598.56832049995
"45" 1 483.2080565 700.937770112428
"46" 1 492.187361000001 624.2959915069
"47" 1 501.814477000002 672.182960935676
"48" 1 502.926720500005 620.889936452404
"49" 1 504.025876249994 518.828467281604
"50" 1 505.825225000002 506.565636025428
"51" 1 506.139109250002 507.969313247741
"52" 1 507.314502499996 753.047284095272
"53" 1 509.798656250002 716.312589279733
"54" 1 523.090987250001 551.463735811927
"55" 1 534.237986000001 993.793312110083
"56" 1 540.5536145 882.145385978467
"57" 1 554.199883250001 601.401749695489
"58" 1 572.14148125 719.980773626029
"59" 1 590.070664000004 890.707320760075
"60" 1 608.27507325 658.369842952401
"61" 1 611.444202500003 616.02996685857
"62" 1 618.581056000005 641.631825401112
"63" 1 631.925245250001 644.841006758236
"64" 1 639.496720999997 668.612682482587
"65" 1 639.920100250002 751.770693337569
"66" 1 643.628028249999 653.940195674901
"67" 1 646.50913625 646.521767761518
"68" 1 657.368744 819.552098541783
"69" 1 665.64518725 670.335625358178
"70" 1 680.285859999999 720.630732916927
"71" 1 681.180976249997 681.202126429004
"72" 1 705.097393250001 728.337537830445
"73" 1 844.793417000001 886.51681890287
"74" 1 878.451642500001 884.53343659153
"75" 1 878.754650000003 944.566944114373
"76" 1 919.491226250002 966.702696188879
"77" 1 958.138206249998 961.370344773801
