"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 443.076698000001
"3" 0 0 523.433311249999
"4" 0 0 591.842236499999
"5" 0 0 475.718547999999
"6" 0 0 397.133809000002
"7" 0 0 564.0109525
"8" 0 0 474.404801000002
"9" 0 0 240.43688
"10" 0 0 360.899815249998
"11" 0 0 285.984901000001
"12" 0 0 209.287779999999
"13" 0 0 367.1814485
"14" 0 0 688.037574249995
"15" 0 0 392.256458500001
"16" 1 396.233359249998 667.518479375279
"17" 1 533.542332500001 725.231942520796
"18" 1 609.366398499999 681.962445137863
"19" 1 615.855290499999 726.11087808564
"20" 1 656.806996250001 833.768112662667
"21" 1 663.35325125 850.798304570995
"22" 1 680.242473 719.927529685144
"23" 1 720.535876249999 770.807702612141
"24" 1 822.488420499998 824.774660478467
"25" 1 835.162906250001 1016.50495404371
"26" 1 840.264437000003 1285.35489418996
"27" 1 914.032296250004 1044.50812428544
"28" 1 1094.73124625 1191.59481259601
"29" 1 1201.91927525 1220.05796510004
