"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 306.932654250001
"3" 0 0 269.29715625
"4" 0 0 443.257378249997
"5" 0 0 326.553203250001
"6" 0 0 458.686736
"7" 0 0 485.944497250004
"8" 0 0 429.815099249999
"9" 0 0 344.8462345
"10" 0 0 302.145966249999
"11" 0 0 188.05820525
"12" 0 0 243.558769249999
"13" 0 0 429.537917250002
"14" 0 0 182.057112499999
"15" 0 0 155.497695250001
"16" 0 0 297.759732499999
"17" 0 0 443.390411249998
"18" 0 0 438.565737250002
"19" 0 0 150.050442249999
"20" 0 0 428.372929
"21" 1 400.721425250002 459.826490615183
"22" 1 425.799699999999 599.416453097519
"23" 1 427.368003999999 428.825691229407
"24" 1 440.695250499999 441.369871584236
"25" 1 455.104552999997 528.463481525394
"26" 1 491.576256999999 772.374081808532
"27" 1 491.994920000004 493.021540707515
"28" 1 498.96485825 652.397632710282
"29" 1 501.320741000001 615.784145672377
"30" 1 545.725340500003 759.230027609507
"31" 1 565.44799725 727.224037002387
"32" 1 581.52363325 734.634977557842
"33" 1 584.211025249996 661.827362206877
"34" 1 594.5549805 661.881774219585
"35" 1 597.454020500002 631.746385037979
"36" 1 608.53460125 669.602869820946
"37" 1 617.9605 719.501144950621
"38" 1 643.184091250003 764.2204266489
"39" 1 644.993234500002 647.616405869173
"40" 1 660.767134249999 684.975149716753
"41" 1 693.2458025 707.910768130475
"42" 1 835.525785250001 836.108834067612
"43" 1 849.285853249996 858.034506830866
