"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 366.488606250002
"3" 0 0 337.823799250003
"4" 0 0 270.969412500001
"5" 0 0 300.64528625
"6" 0 0 458.022612499998
"7" 0 0 258.586686249999
"8" 0 0 360.35867825
"9" 0 0 287.69013425
"10" 0 0 309.86993
"11" 0 0 211.431178
"12" 0 0 341.923234500004
"13" 0 0 293.0885765
"14" 0 0 525.200283249998
"15" 0 0 235.60314125
"16" 0 0 226.467457250002
"17" 0 0 78.7316344999995
"18" 0 0 176.95666125
"19" 0 0 72.1940282499994
"20" 0 0 259.00038125
"21" 1 106.303044250001 116.506562811711
"22" 1 234.776406500001 285.418310754799
"23" 1 280.714082499999 341.787758317084
"24" 1 353.371050500002 455.887490476253
"25" 1 399.68680625 427.589158151217
"26" 1 407.648109250003 688.176359497678
"27" 1 413.464325000001 550.509427594264
"28" 1 419.67828125 534.040673981576
"29" 1 427.590022250003 508.321632070779
"30" 1 436.620474 471.039637918378
"31" 1 475.646772249999 525.856668970298
"32" 1 512.04273125 619.827676036691
"33" 1 537.292300499999 734.477776820278
"34" 1 538.814608250002 575.167169286337
"35" 1 573.4306805 849.007452956977
"36" 1 587.938071249999 616.842317967319
"37" 1 603.095938249998 606.737001921016
"38" 1 659.187546249998 718.547194283499
"39" 1 662.675413249997 666.885124949903
"40" 1 764.506194500005 847.119638939163
"41" 1 764.926936999998 839.043264614685
