"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 454.75818425
"3" 0 0 419.458001
"4" 0 0 422.509039250002
"5" 0 0 387.162109000004
"6" 0 0 233.513502499999
"7" 0 0 396.990397000002
"8" 0 0 359.056385000003
"9" 0 0 313.281595250001
"10" 0 0 438.737656999998
"11" 0 0 318.775075999993
"12" 0 0 332.22571225
"13" 0 0 237.03304025
"14" 0 0 222.4445085
"15" 0 0 230.818810000001
"16" 0 0 467.204871249997
"17" 0 0 370.266752249997
"18" 0 0 355.810152999999
"19" 0 0 430.854505000001
"20" 0 0 293.1190925
"21" 1 345.670391250001 408.616208615972
"22" 1 407.93892625 439.752342916328
"23" 1 461.235601250001 560.050413798022
"24" 1 463.255526499997 492.359858738275
"25" 1 469.431737 762.024803868647
"26" 1 476.772057 823.681440526494
"27" 1 480.936600250001 960.463550375036
"28" 1 549.737369000001 580.056423613438
"29" 1 552.980010250001 691.514709659392
"30" 1 564.200704250004 645.510115663922
"31" 1 577.518546249998 605.262051000853
"32" 1 588.776041250001 636.266452052388
"33" 1 596.754305999996 786.985305885207
"34" 1 602.932420250001 655.267741197154
"35" 1 609.701602249999 618.693208407698
"36" 1 609.813243250002 725.063099096535
"37" 1 622.547331249999 706.5493142379
"38" 1 728.05285825 755.159249279358
"39" 1 753.040726249998 778.706598663921
"40" 1 767.887131250004 768.123961115075
"41" 1 842.690936249995 942.656283220144
