"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 581.199026000003
"3" 0 0 180.973440499998
"4" 0 0 266.045969249999
"5" 0 0 421.495251999997
"6" 0 0 539.909922499999
"7" 0 0 552.740169250003
"8" 0 0 424.966367250003
"9" 0 0 468.982400000002
"10" 0 0 372.56800725
"11" 0 0 381.61203725
"12" 0 0 314.529401249999
"13" 0 0 318.101912500001
"14" 0 0 544.327006249999
"15" 0 0 329.966980000002
"16" 0 0 277.036369249999
"17" 0 0 350.23845025
"18" 0 0 483.024080499995
"19" 0 0 153.603081999999
"20" 0 0 435.70085
"21" 0 0 497.835233999999
"22" 0 0 695.254674249994
"23" 0 0 489.523396499999
"24" 0 0 489.15777625
"25" 0 0 828.945944500003
"26" 0 0 252.80707325
"27" 0 0 135.41207725
"28" 0 0 141.45316
"29" 0 0 617.105056250004
"30" 0 0 516.950364999998
"31" 1 230.43580325 237.106958268807
"32" 1 430.234920000002 506.380705531485
"33" 1 476.99520625 746.226868479569
"34" 1 512.051152000003 523.726902016457
"35" 1 531.33790625 541.127622480379
"36" 1 534.34122725 671.654233077939
"37" 1 583.355552 640.348941989415
"38" 1 590.493063250002 1090.39437163763
"39" 1 592.988105249997 886.704256543755
"40" 1 609.469833999999 609.833895369511
"41" 1 613.288322000001 1446.6526310976
"42" 1 641.047561999999 747.736793633504
"43" 1 665.037267249997 868.106004963632
"44" 1 681.987177249999 684.272985986957
"45" 1 694.661402500002 759.322779135789
"46" 1 701.69207825 1035.09660573969
"47" 1 704.425929999998 925.26675473705
"48" 1 736.694874500003 819.540736520941
"49" 1 753.531932500001 788.661746551514
"50" 1 754.601920249998 755.261352753515
"51" 1 774.041368249998 804.026082025322
"52" 1 783.19511525 1201.28992756562
"53" 1 786.820746500002 1372.34532292214
"54" 1 809.713470249996 837.274825242949
"55" 1 879.757352500001 957.690555139575
"56" 1 885.480115249998 885.672207329792
"57" 1 897.198526249999 930.991842014627
"58" 1 903.037730499999 932.432763086808
"59" 1 997.72520725 1010.7711479553
"60" 1 1008.13885 1188.71444983948
"61" 1 1050.902009 1053.9741950641
"62" 1 1283.5719625 1299.66087390844
"63" 1 1361.05345125 1365.4000433798
"64" 1 1364.79721625 1424.08787571788
