"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 865.325756250004
"3" 0 0 704.704197249999
"4" 0 0 826.903599250001
"5" 0 0 711.159258499998
"6" 0 0 718.615322500001
"7" 0 0 752.025892999995
"8" 0 0 732.650424999998
"9" 0 0 725.477638499999
"10" 0 0 802.248762500003
"11" 0 0 741.924586
"12" 0 0 769.382251250005
"13" 0 0 682.872002500003
"14" 0 0 627.133191249998
"15" 0 0 790.722836
"16" 0 0 754.096596250002
"17" 0 0 819.231598250002
"18" 0 0 1005.668746
"19" 0 0 791.578886500002
"20" 0 0 810.246747250004
"21" 0 0 743.211672999996
"22" 0 0 834.980236249996
"23" 0 0 865.901379249999
"24" 0 0 928.832701249999
"25" 0 0 883.570753000002
"26" 0 0 807.479491249998
"27" 0 0 805.313042500001
"28" 0 0 692.068123250004
"29" 0 0 764.89191025
"30" 0 0 820.729218499996
"31" 0 0 737.986614499999
"32" 0 0 959.877745999999
"33" 0 0 890.201400250004
"34" 0 0 574.23020125
"35" 0 0 687.815076250001
"36" 0 0 655.763651999999
"37" 0 0 996.8478125
"38" 0 0 1163.70949249999
"39" 0 0 729.674310499998
"40" 0 0 660.175445000006
"41" 0 0 767.410602499997
"42" 0 0 993.08469025
"43" 0 0 517.4706925
"44" 0 0 681.454468999999
"45" 0 0 493.309065250002
"46" 0 0 966.4249345
"47" 0 0 797.214285249996
"48" 0 0 661.47353
"49" 0 0 406.642594499997
"50" 0 0 811.988714
"51" 0 0 697.651087250001
"52" 0 0 788.297012499996
"53" 0 0 762.138330500002
"54" 0 0 639.983540500004
"55" 0 0 704.664726249997
"56" 0 0 918.024531249993
"57" 0 0 648.6001065
"58" 0 0 754.53579325
"59" 0 0 1327.25869225
"60" 0 0 489.392127250001
"61" 0 0 895.155942499998
"62" 0 0 891.903049999996
"63" 0 0 587.275579249996
"64" 0 0 483.032719250001
"65" 0 0 888.921840999997
"66" 1 708.341642500003 907.015608958406
"67" 1 721.480124250006 972.783874735554
"68" 1 733.150152999998 766.352519526199
"69" 1 734.066673250005 846.773335577483
"70" 1 736.789735249999 793.958340426186
"71" 1 755.415780500001 919.870104417167
"72" 1 755.817195249997 968.945790532222
"73" 1 785.866801249998 1004.54874026586
"74" 1 830.125416250002 962.755174627543
"75" 1 844.770485000003 1452.4148945245
"76" 1 865.713347999996 1317.78189980464
"77" 1 884.978372000003 1479.49111988598
"78" 1 887.063589250005 1786.673333114
"79" 1 894.789990250003 1033.38986252181
"80" 1 903.256760250003 1072.19090115709
"81" 1 907.100734250001 1532.26162241736
"82" 1 917.651210499999 1371.86604221847
"83" 1 920.163316999995 1069.28868341843
"84" 1 927.49673425 1315.97169022982
"85" 1 928.009540999996 1135.42984180759
"86" 1 929.6277065 1193.26214112941
"87" 1 930.774312000001 1578.55869120536
"88" 1 957.989166250002 1075.82593104983
"89" 1 960.89015425 986.138338263069
"90" 1 961.403366250004 1317.07313251298
"91" 1 968.352135999996 1199.28200997281
"92" 1 973.033042 1538.62258129954
"93" 1 974.212695250001 1144.98504060492
"94" 1 993.966952249996 1296.31751587162
"95" 1 1002.617309 1302.86843817889
"96" 1 1004.160418 1188.7001786719
"97" 1 1010.4054305 1609.0003785656
"98" 1 1014.753217 2094.71117934391
"99" 1 1016.27969525 1446.49717131328
"100" 1 1017.922852 1621.0623495302
"101" 1 1021.651669 1231.97583234843
"102" 1 1036.26516625 1351.21132185208
"103" 1 1037.58439525 1601.98833448452
"104" 1 1037.87191925 1245.92049767846
"105" 1 1039.09234 1205.02613208178
"106" 1 1043.53585 1250.45300917159
"107" 1 1060.14526425 1185.10706130848
"108" 1 1063.6659725 1447.82277137178
