"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 552.287250500001
"3" 0 0 325.248025000001
"4" 0 0 213.869324499999
"5" 0 0 408.9021025
"6" 0 0 482.411202500001
"7" 0 0 297.350745249996
"8" 0 0 639.973736500003
"9" 0 0 571.132747250002
"10" 0 0 215.421602499999
"11" 0 0 369.353532250002
"12" 0 0 204.61850725
"13" 0 0 442.678720249998
"14" 0 0 719.92307725
"15" 0 0 418.137439250001
"16" 0 0 613.887826250004
"17" 0 0 365.9416285
"18" 0 0 418.26577
"19" 0 0 216.0892945
"20" 0 0 597.1905025
"21" 0 0 515.854617250003
"22" 0 0 613.050348500001
"23" 0 0 368.889050000001
"24" 0 0 451.400679249998
"25" 0 0 613.769444500005
"26" 0 0 423.782980250002
"27" 0 0 447.863396499999
"28" 0 0 233.321312499998
"29" 0 0 384.108135999999
"30" 0 0 333.338020000001
"31" 0 0 445.028146250001
"32" 0 0 331.60016
"33" 0 0 268.29954125
"34" 0 0 289.0884785
"35" 0 0 396.422784
"36" 0 0 408.58993825
"37" 0 0 471.567657249998
"38" 0 0 632.380531249996
"39" 0 0 240.88339025
"40" 0 0 428.365581249998
"41" 0 0 350.885864
"42" 0 0 711.438648249999
"43" 0 0 644.409811250002
"44" 0 0 226.987207250001
"45" 0 0 731.201343999996
"46" 1 399.06946525 532.720770121258
"47" 1 431.364382249999 697.557100022008
"48" 1 443.256559249999 476.681421435354
"49" 1 463.997210000001 518.572484750869
"50" 1 473.230419999999 819.649592288583
"51" 1 480.930099999998 600.714593400744
"52" 1 489.700096249999 889.939288631336
"53" 1 500.481753250002 836.719875750402
"54" 1 514.698774499999 525.136245044905
"55" 1 517.76964725 620.047019806843
"56" 1 549.046897249999 587.355397493165
"57" 1 558.27578725 561.486713475055
"58" 1 591.756361249998 698.730922828304
"59" 1 600.644680000002 672.673056446974
"60" 1 610.464726500001 660.376722010871
"61" 1 617.668623999999 674.173642107828
"62" 1 619.138767250002 653.097475013612
"63" 1 619.20253225 793.946016119978
"64" 1 624.249530500002 715.272620226438
"65" 1 626.188707250002 756.167266323767
"66" 1 633.787821000003 714.502208062344
"67" 1 639.095970500005 694.009784842546
"68" 1 640.203098000003 697.994954712221
"69" 1 641.464700500002 991.219565753294
"70" 1 654.262412500001 859.797629587788
"71" 1 656.35343325 769.106305161211
"72" 1 674.625560500002 701.334890894513
"73" 1 695.609382499996 697.098495212278
"74" 1 708.322488249999 762.94048835843
"75" 1 727.4015945 742.455010984102
"76" 1 730.733551249999 919.966185779083
"77" 1 735.553182500003 1229.34929904205
"78" 1 738.124956249997 944.131574910089
"79" 1 741.703276249993 799.425117031367
"80" 1 744.950289250004 885.518417149829
"81" 1 748.625709249999 777.943906971257
"82" 1 749.535614499998 868.985676950126
"83" 1 754.087463999999 941.02605011071
"84" 1 760.43823925 811.130028728594
"85" 1 764.085852499998 932.427348888395
"86" 1 769.808648249998 1019.53199335383
"87" 1 776.745624999999 965.202769105017
"88" 1 779.965706000001 978.427126835345
"89" 1 793.068166249998 805.335699068781
"90" 1 798.621958249997 957.417031853406
"91" 1 809.99274025 838.369193179976
"92" 1 825.207445250002 853.728449127411
"93" 1 830.293667999999 831.243445998866
"94" 1 841.938876250004 1150.22903710065
"95" 1 871.864561000001 987.451519810995
"96" 1 872.018312499998 1434.94795466655
"97" 1 875.886554500005 913.68726765121
"98" 1 919.192542500001 1016.65404469048
"99" 1 920.054208249997 949.748794972742
"100" 1 939.50815625 1029.21403474196
"101" 1 945.413827250002 963.412815698347
"102" 1 970.976986249999 989.698939982547
"103" 1 976.254462250002 1131.80796302982
"104" 1 995.060576250003 1002.11494151205
"105" 1 1020.44620225 1103.21954990998
"106" 1 1070.40454625 1131.22390049808
